action,symbol,buy_date,sell_date,buy_price,sell_price,shares,reason,sell_delay_days,fee
BUY,601669.XSHG,2025-01-02,,5.0598,,3900,enter_topk,,29.59983
BUY,601169.XSHG,2025-01-02,,5.7367,,3400,enter_topk,,29.25717
BUY,300205.XSHE,2025-01-02,,4.3,,4600,enter_topk,,29.67
BUY,000100.XSHE,2025-01-02,,4.8963,,4000,enter_topk,,29.3778
BUY,600905.XSHG,2025-01-02,,4.1838,,4700,enter_topk,,29.495790000000003
BUY,601186.XSHG,2025-01-02,,8.4855,,2300,enter_topk,,29.274975
BUY,600011.XSHG,2025-01-02,,6.3219,,3100,enter_topk,,29.396835
BUY,601390.XSHG,2025-01-02,,5.9115,,3300,enter_topk,,29.261925
BUY,301098.XSHE,2025-01-02,,7.8872,,2500,enter_topk,,29.577
BUY,600036.XSHG,2025-01-02,,36.9134,,500,enter_topk,,27.68505
BUY,600000.XSHG,2025-01-02,,9.8319,,2000,enter_topk,,29.4957
BUY,301037.XSHE,2025-01-02,,10.46,,1900,enter_topk,,29.811
BUY,603261.XSHG,2025-01-02,,26.5,,700,enter_topk,,27.825
BUY,601618.XSHG,2025-01-02,,3.1024,,6500,enter_topk,,30.2484
BUY,601868.XSHG,2025-01-02,,2.1846,,9200,enter_topk,,30.14748
BUY,600795.XSHG,2025-01-02,,4.2495,,4700,enter_topk,,29.958975000000002
BUY,000002.XSHE,2025-01-02,,7.11,,2800,enter_topk,,29.862000000000002
BUY,601857.XSHG,2025-01-02,,8.3082,,2400,enter_topk,,29.90952
BUY,301024.XSHE,2025-01-02,,23.32,,800,enter_topk,,27.984
BUY,301163.XSHE,2025-01-02,,20.286,,900,enter_topk,,27.386100000000003
BUY,301106.XSHE,2025-01-02,,27.3478,,700,enter_topk,,28.71519
BUY,301258.XSHE,2025-01-02,,23.0035,,800,enter_topk,,27.6042
BUY,301359.XSHE,2025-01-02,,15.2966,,1300,enter_topk,,29.828369999999996
BUY,601211.XSHG,2025-01-02,,17.3886,,1100,enter_topk,,28.69119
BUY,003816.XSHE,2025-01-02,,3.8491,,5300,enter_topk,,30.600345
BUY,002142.XSHE,2025-01-02,,22.7018,,900,enter_topk,,30.64743
BUY,601818.XSHG,2025-01-02,,3.5547,,5700,enter_topk,,30.392685
BUY,603172.XSHG,2025-01-02,,12.8933,,1500,enter_topk,,29.009925000000003
BUY,600050.XSHG,2025-01-02,,4.8623,,4200,enter_topk,,30.63249
BUY,601728.XSHG,2025-01-02,,6.8584,,2900,enter_topk,,29.83404
BUY,600319.XSHG,2025-01-02,,4.75,,4300,enter_topk,,30.6375
BUY,600671.XSHG,2025-01-02,,8.73,,2300,enter_topk,,30.1185
BUY,002200.XSHE,2025-01-02,,5.2804,,3900,enter_topk,,30.890340000000002
BUY,601138.XSHG,2025-01-02,,20.3118,,1000,enter_topk,,30.467700000000004
BUY,002594.XSHE,2025-01-02,,89.3005,,200,enter_topk,,26.790149999999997
BUY,601800.XSHG,2025-01-02,,9.6151,,2100,enter_topk,,30.287565
BUY,301321.XSHE,2025-01-02,,14.23,,1400,enter_topk,,29.883
BUY,300637.XSHE,2025-01-02,,8.96,,2300,enter_topk,,30.912000000000006
BUY,601766.XSHG,2025-01-02,,7.6259,,2700,enter_topk,,30.884895
BUY,600028.XSHG,2025-01-02,,6.3058,,3300,enter_topk,,31.21371
BUY,002493.XSHE,2025-01-02,,8.6651,,2400,enter_topk,,31.194360000000003
BUY,001366.XSHE,2025-01-02,,10.56,,1900,enter_topk,,30.096
BUY,301295.XSHE,2025-01-02,,20.1377,,1000,enter_topk,,30.206549999999996
BUY,603810.XSHG,2025-01-02,,8.99,,2300,enter_topk,,31.0155
BUY,601628.XSHG,2025-01-02,,39.1546,,500,enter_topk,,29.365949999999998
BUY,600193.XSHG,2025-01-02,,3.43,,6300,enter_topk,,32.4135
BUY,600926.XSHG,2025-01-02,,13.785,,1500,enter_topk,,31.01625
BUY,601009.XSHG,2025-01-02,,10.0133,,2200,enter_topk,,33.04389
BUY,601229.XSHG,2025-01-02,,8.5323,,2500,enter_topk,,31.996125
BUY,600015.XSHG,2025-01-02,,7.3661,,3000,enter_topk,,33.14745
SELL,601169.XSHG,2025-01-02,2025-01-03,5.7367,5.6318,3400,sold,0,47.8703
SELL,002142.XSHE,2025-01-02,2025-01-03,22.7018,22.673,900,sold,0,51.01425
SELL,601009.XSHG,2025-01-02,2025-01-03,10.0133,9.9367,2200,sold,0,54.65185
SELL,601868.XSHG,2025-01-02,2025-01-03,2.1846,2.1551,9200,sold,0,49.5673
SELL,601138.XSHG,2025-01-02,2025-01-03,20.3118,20.1549,1000,sold,0,50.38725
BUY,300117.XSHE,2025-01-03,,1.03,,100,enter_topk,,0.1545
BUY,601005.XSHG,2025-01-03,,1.37,,100,enter_topk,,0.20550000000000002
BUY,600022.XSHG,2025-01-03,,1.37,,100,enter_topk,,0.20550000000000002
BUY,600898.XSHG,2025-01-03,,0.95,,100,enter_topk,,0.14250000000000002
BUY,300301.XSHE,2025-01-03,,1.85,,100,enter_topk,,0.2775
SELL,002594.XSHE,2025-01-02,2025-01-06,89.3005,89.3598,200,sold,0,44.67990000000001
SELL,601229.XSHG,2025-01-02,2025-01-06,8.5323,8.3235,2500,sold,0,52.021874999999994
SELL,601818.XSHG,2025-01-02,2025-01-06,3.5547,3.5451,5700,sold,0,50.517675
SELL,600022.XSHG,2025-01-03,2025-01-06,1.37,1.38,100,sold,0,0.34500000000000003
SELL,301163.XSHE,2025-01-02,2025-01-06,20.286,19.0424,900,sold,0,42.8454
BUY,601319.XSHG,2025-01-06,,6.7495,,2900,enter_topk,,29.360325
BUY,000725.XSHE,2025-01-06,,4.1275,,4900,enter_topk,,30.337125000000007
BUY,301529.XSHE,2025-01-06,,28.2587,,700,enter_topk,,29.671635000000002
BUY,301227.XSHE,2025-01-06,,15.19,,1300,enter_topk,,29.6205
BUY,601868.XSHG,2025-01-06,,2.1649,,10000,enter_topk,,32.4735
SELL,601319.XSHG,2025-01-06,2025-01-07,6.7495,6.7398,2900,sold,0,48.86355
SELL,601628.XSHG,2025-01-02,2025-01-07,39.1546,38.2991,500,sold,0,47.873875000000005
SELL,600926.XSHG,2025-01-02,2025-01-07,13.785,13.9098,1500,sold,0,52.161750000000005
SELL,600015.XSHG,2025-01-02,2025-01-07,7.3661,7.2995,3000,sold,0,54.74625
SELL,300301.XSHE,2025-01-03,2025-01-07,1.85,1.89,100,sold,0,0.47250000000000003
BUY,300462.XSHE,2025-01-07,,8.62,,1700,enter_topk,,21.980999999999998
BUY,603968.XSHG,2025-01-07,,9.01,,1700,enter_topk,,22.9755
BUY,000608.XSHE,2025-01-07,,2.15,,7100,enter_topk,,22.8975
BUY,000638.XSHE,2025-01-07,,4.47,,3400,enter_topk,,22.797
BUY,301232.XSHE,2025-01-07,,24.03,,600,enter_topk,,21.627
SELL,601857.XSHG,2025-01-02,2025-01-08,8.3082,8.5735,2400,sold,0,51.440999999999995
